pickupLatitude,pickupLongitude,No of orders
13.02490044° N,77.67910004° E,55
13.02560043° N,77.63009644° E,2
13.02560043° N,77.62760162° E,62
13.02560043° N,77.58100128° E,20
13.02620029° N,77.63600159° E,381
13.02649975° N,77.58769989° E,26
13.02649975° N,77.59339905° E,1
13.02719975° N,77.74729919° E,770
13.02729988° N,77.59359741° E,170
13.02729988° N,77.66519928° E,11
13.02729988° N,77.57180023° E,1
13.02820015° N,77.54229736° E,2
13.02820015° N,77.68900299° E,18
13.02869987° N,77.54509735° E,2
13.02900028° N,77.57070160° E,2
13.02950001° N,77.55930328° E,7
13.02970028° N,77.56079865° E,2
13.02989960° N,77.63480377° E,9
13.03059959° N,77.69280243° E,92
13.03069973° N,77.63520050° E,123
13.03139973° N,77.69869995° E,22
13.03209972° N,77.63670349° E,1
13.03219986° N,77.66049957° E,25
13.03230000° N,77.57009888° E,86
13.03250027° N,77.55860138° E,2
13.03299999° N,77.56919861° E,13
13.03320026° N,77.60119629° E,24
13.03330040° N,77.56950378° E,1
13.03380013° N,77.55799866° E,12
13.03409958° N,77.50409698° E,68
13.03429985° N,77.55740356° E,2
13.03429985° N,77.55919647° E,27
13.03499985° N,77.60469818° E,39
13.03579998° N,77.56639862° E,31
13.03730011° N,77.67559814° E,5
13.03750038° N,77.53070068° E,347
13.03859997° N,77.66400146° E,13
13.03880024° N,77.56459808° E,216
13.03909969° N,77.56420135° E,2
13.04049969° N,77.51830292° E,53
13.04059982° N,77.51820374° E,16
13.04160023° N,77.61969757° E,1
13.04269981° N,77.54969788° E,12
13.04310036° N,77.54190063° E,2
13.04329967° N,77.50489807° E,12
13.04430008° N,77.57089996° E,40
13.04539967° N,77.62680054° E,163
13.04559994° N,77.50939941° E,820
13.04740047° N,77.64440155° E,126
13.04759979° N,77.57599640° E,18
13.04829979° N,77.50779724° E,41
13.04860020° N,77.51450348° E,93
13.04959965° N,77.60209656° E,112
13.04990005° N,77.59770203° E,15
13.05049992° N,77.48709869° E,12
13.05080032° N,77.50789642° E,2
13.05080032° N,77.56790161° E,19
13.05099964° N,77.62159729° E,154
13.05099964° N,77.61750031° E,3
13.05200005° N,77.63110352° E,3
13.05210018° N,77.64600372° E,221
13.05210018° N,77.64600372° E,2
13.05259991° N,77.51260376° E,11
13.05519962° N,77.59960175° E,40
13.05529976° N,77.76390076° E,20
13.05539989° N,77.60420227° E,5
13.05609989° N,77.57630157° E,141
13.05630016° N,77.57640076° E,254
13.05650043° N,77.57640076° E,2
13.05700016° N,77.50299835° E,20
13.05790043° N,77.64849854° E,6
13.05819988° N,77.63349915° E,507
13.05840015° N,77.54609680° E,2
13.05959988° N,77.59259796° E,4
13.06000042° N,77.50599670° E,4
13.06050014° N,77.58750153° E,1
13.06099987° N,77.57550049° E,5
13.06149960° N,77.64199829° E,1
13.06280041° N,77.59410095° E,1
13.06330013° N,77.58300018° E,39
13.06350040° N,77.59010315° E,2
13.06359959° N,77.57319641° E,2
13.06359959° N,77.59089661° E,55
13.06369972° N,77.50389862° E,36
13.06369972° N,77.64890289° E,28
13.06379986° N,77.57319641° E,2
13.06379986° N,77.59179688° E,1
13.06379986° N,77.64890289° E,2
13.06420040° N,77.64910126° E,84
13.06540012° N,77.64369965° E,9
13.06669998° N,77.59629822° E,15
13.06680012° N,77.55380249° E,53
13.06690025° N,77.74330139° E,37
13.06739998° N,77.49980164° E,53
13.06789970° N,77.63040161° E,59
13.06799984° N,77.62979889° E,60
13.06799984° N,77.60540009° E,100
13.06809998° N,77.60579681° E,35
13.06910038° N,77.55690002° E,19
13.06949997° N,77.55580139° E,23
13.06960011° N,77.55899811° E,451
13.06960011° N,77.65170288° E,4
13.06970024° N,77.50399780° E,102
13.06980038° N,77.50379944° E,8
13.06980038° N,77.50420380° E,5
13.06980038° N,77.50399780° E,83
13.06980038° N,77.56439972° E,87
13.06989956° N,77.50389862° E,2
13.07089996° N,77.50469971° E,267
13.07129955° N,77.65160370° E,24
13.07129955° N,77.65119934° E,38
13.07149982° N,77.65170288° E,38
13.07269955° N,77.60340118° E,79
13.07549953° N,77.55970001° E,23
13.07569981° N,77.60240173° E,1
13.07839966° N,77.55899811° E,106
13.07890034° N,77.55899811° E,23
13.08059978° N,77.55950165° E,7
13.08199978° N,77.55970001° E,1
13.08199978° N,77.54699707° E,28
13.08290005° N,77.56060028° E,2
13.08329964° N,77.64240265° E,7
13.08349991° N,77.64330292° E,1
13.08390045° N,77.64289856° E,54
13.08500004° N,77.63490295° E,163
13.08670044° N,77.61569977° E,283
13.08969975° N,77.63549805° E,2
13.08979988° N,77.58249664° E,4
13.09020042° N,77.54109955° E,16
13.09080029° N,77.60240173° E,1
13.09399986° N,77.58149719° E,15
13.09430027° N,77.59519958° E,2
13.09469986° N,77.59490204° E,80
13.09570026° N,77.60109711° E,1
13.09580040° N,77.60099792° E,5
13.09599972° N,77.60119629° E,1
13.09749985° N,77.57800293° E,14
13.09790039° N,77.58460236° E,9
13.09799957° N,77.56340027° E,72
13.09829998° N,77.56860352° E,59
13.09840012° N,77.57360077° E,6
13.09840012° N,77.57360077° E,58
13.09850025° N,77.57360077° E,153
13.09850025° N,77.57360077° E,55
13.09850025° N,77.57369995° E,1
13.09850025° N,77.57369995° E,3
13.09869957° N,77.59010315° E,1
13.09920025° N,77.58940125° E,11
13.09930038° N,77.58439636° E,1
13.09930038° N,77.58429718° E,2
13.09949970° N,77.56690216° E,8
13.10019970° N,77.58039856° E,4
13.10169983° N,77.56230164° E,197
13.10309982° N,77.57679749° E,9
13.10379982° N,77.62200165° E,15
13.10389996° N,77.57499695° E,14
13.11489964° N,77.57330322° E,45
13.11499977° N,77.56680298° E,36
13.11559963° N,77.63400269° E,78
13.12110043° N,77.61609650° E,4
13.12129974° N,77.61900330° E,114
13.12150002° N,77.61560059° E,31
13.12180042° N,77.62270355° E,3
13.12209988° N,77.63069916° E,37
13.12209988° N,77.63030243° E,4
13.15229988° N,77.62090302° E,115
13.26410007° N,77.71859741° E,49
13.26469994° N,77.71849823° E,2
13.34819984° N,74.78289795° E,1
13.34899998° N,74.78199768° E,157
13.35579967° N,74.79750061° E,53
13.35840034° N,77.10320282° E,106
13.93470001° N,75.57399750° E,37
14.46549988° N,78.83270264° E,77
14.65740013° N,77.58129883° E,8
14.67269993° N,77.60890198° E,2
14.86289978° N,74.12680054° E,9
15.15229988° N,76.92320251° E,41
15.15429974° N,76.90879822° E,13
15.27589989° N,76.38719940° E,24
15.35060024° N,75.11109924° E,75
15.35910034° N,75.12740326° E,24
15.35929966° N,75.12729645° E,33
15.45450020° N,75.00830078° E,49
15.79899979° N,78.05069733° E,30
15.82740021° N,78.03549957° E,17
16.19580078° N,77.34310150° E,14
16.54100037° N,81.52700043° E,1
16.54199982° N,81.50099945° E,1
16.62420082° N,81.73850250° E,1
16.70420074° N,81.11380005° E,3
16.70969963° N,81.09300232° E,9
16.71310043° N,81.10289764° E,8
16.71310043° N,81.09359741° E,4
16.75020027° N,78.00520325° E,33
16.75370026° N,81.68689728° E,8
16.85330009° N,75.71320343° E,21
16.95779991° N,82.23519897° E,28
16.99799919° N,82.24359894° E,1
16.99810028° N,82.24349976° E,14
17.06439972° N,79.26540375° E,12
17.32559967° N,76.85749817° E,47
17.32869911° N,76.83350372° E,73
17.53050041° N,73.51360321° E,1
17.59119987° N,78.08470154° E,16
17.67029953° N,75.88739777° E,8
17.98950005° N,79.59809875° E,30
17.99580002° N,79.55169678° E,69
18.08320045° N,78.85749817° E,21
18.10799980° N,83.39990234° E,58
18.29949951° N,83.90460205° E,35
18.39990044° N,76.55799866° E,9
18.43950081° N,79.12799835° E,1
18.57970047° N,73.73600006° E,2
18.57979965° N,73.73600006° E,131
18.58699989° N,73.70010376° E,80
18.58740044° N,73.70059967° E,8
18.58930016° N,73.99659729° E,188
18.59410095° N,73.72530365° E,7
18.59410095° N,73.72540283° E,4
18.63680077° N,73.79630280° E,85
18.66500092° N,73.80709839° E,113
18.66530037° N,73.72899628° E,8
18.66950035° N,78.10530090° E,34
18.78829956° N,78.29180145° E,11
19.15110016° N,73.24639893° E,10
19.17449951° N,73.23100281° E,1
19.17600060° N,73.22489929° E,89
19.19989967° N,73.19819641° E,3
19.20789909° N,72.98750305° E,59
19.21349907° N,73.10569763° E,62
19.21540070° N,73.19490051° E,1
19.21549988° N,73.10079956° E,104
19.21549988° N,73.10099792° E,33
19.21809959° N,73.08899689° E,77
19.22019958° N,73.17250061° E,52
19.22030067° N,73.17209625° E,1
19.22069931° N,73.17220306° E,12
19.22459984° N,73.13359833° E,1
19.22879982° N,72.98259735° E,48
19.22929955° N,73.12370300° E,40
19.23279953° N,73.15550232° E,35
19.23290062° N,73.15550232° E,1
19.24679947° N,73.14620209° E,23
19.25300026° N,73.13670349° E,121
19.25340080° N,73.13760376° E,64
19.26099968° N,73.14279938° E,1
19.28280067° N,72.87370300° E,55
19.28560066° N,72.86869812° E,39
19.28910065° N,72.86509705° E,202
19.29500008° N,72.85030365° E,68
19.29599953° N,72.84719849° E,5
19.34370041° N,72.80690002° E,5
19.38349915° N,72.82099915° E,11
19.40649986° N,72.82240295° E,108
19.40679932° N,72.82199860° E,56
19.41990089° N,72.81009674° E,35
19.44809914° N,72.81809998° E,13
19.45759964° N,72.80410004° E,53
19.46789932° N,72.80460358° E,116
20.53800011° N,76.18340302° E,1
20.95190048° N,86.13050079° E,9
21.21809959° N,81.32250214° E,3
21.21870041° N,81.33460236° E,24
21.25429916° N,81.64910126° E,53
21.26169968° N,81.58360291° E,31
21.27529907° N,81.68730164° E,3
21.70319939° N,72.99700165° E,15
22.05850029° N,88.07550049° E,34
22.07839966° N,82.15029907° E,19
22.09779930° N,82.16320038° E,4
22.22509956° N,84.81990051° E,4
22.24370003° N,84.82700348° E,3
22.54179955° N,72.94650269° E,83
22.55019951° N,72.93340302° E,24
22.62199974° N,88.41139984° E,13
22.62689972° N,88.35050201° E,62
22.63339996° N,88.46690369° E,4
22.65019989° N,88.35060120° E,39
22.65250015° N,88.37709808° E,94
22.66020012° N,88.43869781° E,4
22.66720009° N,88.33750153° E,51
22.67460060° N,88.35199738° E,34
22.67480087° N,88.35209656° E,7
22.74340057° N,88.35019684° E,3
22.79439926° N,86.18419647° E,21
22.79719925° N,86.17839813° E,47
22.80109978° N,86.20870209° E,1
22.80299950° N,86.20429993° E,9
22.81789970° N,86.17469788° E,6
22.82130051° N,86.21269989° E,3
22.94860077° N,88.44219971° E,54
23.16410065° N,79.93609619° E,53
23.18490028° N,72.62349701° E,22
23.18519974° N,72.63150024° E,3
23.51670074° N,87.34729767° E,1
23.53899956° N,87.29090118° E,4
23.68510056° N,86.94170380° E,10
23.69569969° N,86.95240021° E,4
23.82060051° N,86.47000122° E,14
23.82449913° N,86.48130035° E,27
23.82480049° N,91.27030182° E,6
23.83419991° N,91.28160095° E,3
24.58629990° N,73.71060181° E,3
24.61249924° N,73.70269775° E,1
24.80139923° N,85.00140381° E,8
24.80190086° N,85.00140381° E,7
25.01079941° N,88.13659668° E,9
25.13089943° N,75.82180023° E,1
25.13590050° N,75.85420227° E,2
25.13610077° N,75.85449982° E,4
25.16209984° N,75.86350250° E,2
25.51300049° N,90.21700287° E,20
25.56030083° N,91.90660095° E,3
25.65970039° N,94.09909821° E,117
25.67830086° N,94.10939789° E,83
25.69160080° N,85.21320343° E,3
25.91220093° N,93.71990204° E,3
26.13109970° N,85.38839722° E,6
26.20870018° N,78.18930054° E,2
26.20870018° N,78.16619873° E,1
26.20890045° N,78.19100189° E,1
26.21240044° N,78.19930267° E,48
26.21629906° N,78.18509674° E,2
26.40519905° N,90.27010345° E,3
26.46290016° N,74.63339996° E,5
26.48110008° N,74.63110352° E,4
26.64739990° N,84.92729950° E,80
26.65539932° N,92.77279663° E,24
26.74329948° N,83.38330078° E,5
26.75659943° N,83.37290192° E,2
26.80629921° N,84.51139832° E,30
26.88899994° N,81.05480194° E,21
26.92309952° N,81.17669678° E,3
26.98550034° N,94.63790131° E,39
27.10140038° N,93.62899780° E,15
27.10829926° N,93.69730377° E,41
27.48369980° N,95.38849640° E,28
27.49029922° N,77.65550232° E,4
27.60090065° N,75.14540100° E,4
28.19160080° N,76.81400299° E,206
28.31730080° N,77.55180359° E,112
28.43670082° N,77.54620361° E,1
28.45199966° N,77.52559662° E,1
28.45199966° N,77.52590179° E,2
28.45249939° N,77.52629852° E,11
28.45260048° N,77.52629852° E,9
28.45409966° N,77.52570343° E,148
28.45569992° N,77.52349854° E,1
28.45849991° N,77.55909729° E,1
28.46129990° N,77.55539703° E,1
28.46220016° N,77.54119873° E,1
28.46249962° N,77.55770111° E,14
28.46409988° N,77.50789642° E,17
28.47190094° N,77.51270294° E,1
28.47209930° N,77.51409912° E,4
28.47629929° N,77.55930328° E,41
28.47780037° N,77.52359772° E,32
28.47809982° N,77.52690125° E,29
28.47850037° N,77.52349854° E,46
28.48819923° N,77.51390076° E,16
28.49790001° N,77.51979828° E,25
28.51309967° N,77.52590179° E,64
28.54579926° N,77.54380035° E,1
28.55260086° N,77.05780029° E,3
28.55999947° N,77.05930328° E,76
28.56019974° N,77.05940247° E,136
28.57480049° N,77.06759644° E,159
28.58349991° N,77.07170105° E,145
28.58390045° N,77.07160187° E,23
28.58489990° N,77.05829620° E,1
28.58650017° N,77.04440308° E,57
28.58979988° N,77.07170105° E,81
28.59119987° N,77.05879974° E,49
28.59219933° N,77.04149628° E,155
28.59230042° N,77.04139709° E,43
28.59420013° N,77.05639648° E,2
28.59469986° N,77.04239655° E,67
28.59630013° N,77.04190063° E,1
28.59760094° N,77.03289795° E,1
28.59779930° N,77.04889679° E,229
28.59799957° N,77.04859924° E,70
28.60099983° N,77.04660034° E,3
28.60519981° N,77.05429840° E,1
28.60519981° N,77.05419922° E,3
28.61380005° N,77.03330231° E,1
28.61930084° N,77.02899933° E,69
28.62010002° N,77.03649902° E,257
28.62010002° N,77.03659821° E,97
28.62380028° N,77.06269836° E,160
28.65279961° N,77.12110138° E,1
28.65299988° N,77.14160156° E,62
28.65419960° N,77.18840027° E,2
28.65449905° N,77.13729858° E,1
28.65469933° N,77.14479828° E,18
28.65600014° N,77.13870239° E,100
28.65640068° N,77.14969635° E,1
28.65660095° N,77.14959717° E,4
28.65710068° N,77.14939880° E,2
28.66399956° N,77.09230042° E,61
28.66460037° N,77.08570099° E,114
28.66659927° N,77.12229919° E,3
28.66679955° N,77.12049866° E,36
28.66749954° N,77.09300232° E,4
28.66790009° N,77.22859955° E,6
28.67049980° N,77.12960052° E,31
28.67110062° N,77.13480377° E,38
28.67250061° N,77.10310364° E,288
28.67790031° N,77.20339966° E,20
28.68050003° N,77.20809937° E,104
28.68680000° N,77.19300079° E,20
28.68729973° N,77.17350006° E,45
28.68880081° N,77.12909698° E,14
28.69179916° N,77.15769958° E,38
28.69300079° N,77.17310333° E,81
28.69449997° N,77.15370178° E,5
28.69490051° N,77.15399933° E,1
28.69519997° N,77.20410156° E,22
28.69610023° N,77.20400238° E,14
28.69639969° N,76.92030334° E,3
28.69659996° N,77.11550140° E,3
28.69790077° N,77.20649719° E,3
28.69860077° N,77.20760345° E,18
28.69860077° N,77.20600128° E,211
28.69860077° N,77.09639740° E,1
28.69879913° N,77.20580292° E,4
28.69890022° N,77.20770264° E,3
28.70210075° N,77.20580292° E,24
28.70260048° N,77.14720154° E,38
28.70280075° N,77.12270355° E,68
28.70660019° N,77.11019897° E,58
28.70709991° N,77.13710022° E,13
28.70719910° N,77.16169739° E,10
28.70739937° N,77.20290375° E,48
28.70750046° N,77.15529633° E,24
28.70750046° N,77.20290375° E,3
28.70759964° N,77.11409760° E,2
28.70779991° N,77.11409760° E,2
28.70960045° N,77.12270355° E,1
28.71089935° N,77.16040039° E,9
28.71100044° N,77.21540070° E,86
28.71159935° N,77.08049774° E,35
28.71240044° N,77.13590240° E,2
28.71249962° N,77.13619995° E,3
28.71459961° N,77.12960052° E,36
28.72360039° N,77.12750244° E,24
28.73640060° N,77.12079620° E,11
28.73749924° N,77.13649750° E,67
28.74449921° N,77.11869812° E,128
29.96719933° N,77.54070282° E,3
30.21999931° N,74.95459747° E,3
30.34390068° N,76.37960052° E,4
30.34910011° N,76.37539673° E,2
30.62969971° N,76.77010345° E,327
30.63339996° N,76.82510376° E,124
30.63800049° N,76.81520081° E,333
30.65069962° N,76.82219696° E,116
30.65320015° N,76.85060120° E,26
30.65870094° N,76.73670197° E,1
30.67169952° N,76.85510254° E,129
30.67270088° N,76.85569763° E,113
30.69580078° N,76.84980011° E,184
30.69580078° N,76.84950256° E,58
30.70879936° N,76.65660095° E,271
30.71820068° N,76.65409851° E,1
30.72870064° N,76.67359924° E,"1,078"
30.82299995° N,76.73480225° E,12
32.03929901° N,75.40550232° E,7
32.10580063° N,76.53489685° E,85
32.66949844° N,74.89389801° E,36
33.73889923° N,75.13960266° E,52
34.07389832° N,74.81900024° E,3
34.07649994° N,74.77700043° E,12
